kdba,ministry_name,ministry_short,kategori
001,Majelis Permusyawaratan Rakyat,MPR,Lembaga Negara
002,Dewan Perwakilan Rakyat,DPR,Lembaga Negara
004,Badan Pemeriksa Keuangan,BPK,Lembaga Negara
005,Mahkamah Agung,MA,Lembaga Negara
006,Kejaksaan Agung,Kejaksaan,Kementerian
007,Kementerian Sekretariat Negara,Setneg,Kementerian
010,Kementerian Dalam Negeri,Kemendagri,Kementerian
011,Kementerian Luar Negeri,Kemenlu,Kementerian
012,Kementerian Pertahanan,Kemhan,Kementerian
013,Kementerian Hukum dan Hak Asasi Manusia,Kemenkumham,Kementerian
015,Kementerian Keuangan,Kemenkeu,Kementerian
018,Kementerian Pertanian,Kementan,Kementerian
019,Kementerian Perindustrian,Kemenperin,Kementerian
020,Kementerian Energi dan Sumber Daya Mineral,Kementerian ESDM,Kementerian
022,Kementerian Perhubungan,Kemenhub,Kementerian
023,Kementerian Pendidikan dan Kebudayaan,Kemendikbud,Kementerian
024,Kementerian Kesehatan,Kemenkes,Kementerian
025,Kementerian Agama,Kemenag,Kementerian
026,Kementerian Ketenagakerjaan,Kemnaker,Kementerian
027,Kementerian Sosial,Kemensos,Kementerian
029,Kementerian Lingkungan Hidup dan Kehutanan,KLHK,Kementerian
032,Kementerian Kelautan dan Perikanan,KKP,Kementerian
033,Kementerian Pekerjaan Umum dan Perumahan Rakyat,Kemen PUPR,Kementerian
034,Kementerian Koordinator Bidang Politik Hukum dan Keamanan,Kemenko Polhukam,Kementerian
035,Kementerian Koordinator Bidang Perekonomian,Kemenko Perekonomian,Kementerian
036,Kementerian Koordinator Bidang Pembangunan Manusia dan Kebudayaan,Kemenko PMK,Kementerian
040,Kementerian Pariwisata dan Ekonomi Kreatif,Kemenparekraf,Kementerian
041,Kementerian Badan Usaha Milik Negara,Kementerian BUMN,Kementerian
042,Badan Riset dan Inovasi Nasional,BRIN,Lembaga
044,Kementerian Koperasi dan Usaha Kecil dan Menengah,KemenkopUKM,Kementerian
